position,name,backnum,bats,at bat,hit,RBI,run,steal,single,double,triple,homerun,LF short,LF long,CF short,cf long,RF short,RF long,LF short hit,LF long hit,CF short hit,CF long hit,RF short hit,RF long hit,BB,HP,K,DP,base
SS,lees,41,3,2,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
P,wintiger,31,3,2,1,0,1,3,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
3B,minicon,21,3,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
C,bronzelight,44,3,2,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1B,octo,77,3,3,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
CF,dragonstone,71,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2B,moonkite,36,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3B,tiger,16,3,3,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1
LF,ryu,25,3,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
LF,ryu,25,4,3,1,0,2,1,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2
SS,lees,41,4,3,1,0,3,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
3B,minicon,21,4,2,2,5,3,1,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,4
C,bronzelight,44,4,3,2,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,2
P,punchagain,14,4,3,2,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,3
CF,dragonstone,71,3,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1B,octo,77,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3B,maniddack,0,3,2,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2B,moonkite,36,3,2,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
SS,lees,41,4,2,1,4,3,3,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2
LF,ryu,25,4,3,1,2,2,3,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2
1B,octo,77,4,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3
C,bronzelight,44,4,4,2,1,2,0,1,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2
P,punchagain,14,4,4,1,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
CF,dragonstone,71,4,3,1,1,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2
2B,moonkite,36,3,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
P,wintiger,31,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
P,affiliation,9,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
3B,maniddack,0,3,2,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
SS,lees,41,4,3,2,2,2,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,3
3B,maniddack,0,4,4,2,1,2,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,2
1B,octo,77,4,4,3,2,3,0,1,1,1,0,0,1,0,2,1,0,0,1,0,2,0,0,0,0,0,0,3
C,bronzelight,44,4,4,2,1,3,1,0,2,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2
P,punchagain,14,4,4,3,3,3,1,1,2,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,3
LF,ryu,25,4,4,2,1,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,2
2B,moonkite,36,3,3,2,2,1,2,2,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
CF,dragonstone,71,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,wintiger,31,2,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
P,affiliation,9,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3B,minicon,21,4,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2B,moonkite,36,5,4,1,2,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,2
3B,maniddack,0,4,2,1,1,2,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3
CF,dragonstone,71,4,2,2,1,3,1,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,4
C,bronzelight,44,4,4,2,2,2,1,1,1,0,0,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2
P,wintiger,31,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
P,lightagain,45,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SS,lees,41,4,4,1,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
P,punchagain,14,4,4,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1
1B,octo,77,4,3,1,3,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
LF,ryu,25,4,3,3,2,1,1,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,4
SS,lees,41,3,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
